director,duration,film_name,genre,rank,star,year
Frank Darabont,142 min,The Shawshank Redemption,Drama,1,9.3,1994
Francis Ford Coppola,175 min,The Godfather,"Crime, Drama",2,9.2,1972
Christopher Nolan,152 min,The Dark Knight,"Action, Crime, Drama",3,9.1,2008
Peter Jackson,201 min,The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",4,9.0,2003
Steven Spielberg,195 min,Schindler's List,"Biography, Drama, History",5,9.0,1993
Francis Ford Coppola,202 min,The Godfather: Part II,"Crime, Drama",6,9.0,1974
Sidney Lumet,96 min,12 Angry Men,"Crime, Drama",7,9.0,1957
Peter Jackson,178 min,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",8,8.9,2001
Quentin Tarantino,154 min,Pulp Fiction,"Crime, Drama",9,8.9,1994
Peter Jackson,179 min,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",10,8.8,2002
David Fincher,139 min,Fight Club,Drama,11,8.8,1999
Robert Zemeckis,142 min,Forrest Gump,"Drama, Romance",12,8.8,1994
Christopher Nolan,169 min,Interstellar,"Adventure, Drama, Sci-Fi",13,8.7,2014
Martin Scorsese,145 min,Goodfellas,"Biography, Crime, Drama",14,8.7,1990
Milos Forman,133 min,One Flew Over the Cuckoo's Nest,Drama,15,8.7,1975
Akira Kurosawa,207 min,Seven Samurai,"Action, Drama",16,8.7,1954
Frank Capra,130 min,It's a Wonderful Life,"Drama, Family, Fantasy",17,8.7,1946
Fernando Meirelles,130 min,City of God,"Crime, Drama",18,8.6,2002
Roman Polanski,150 min,The Pianist,"Biography, Drama, Music",19,8.6,2002
Steven Spielberg,169 min,Saving Private Ryan,"Drama, War",20,8.6,1998
Frank Darabont,189 min,The Green Mile,"Crime, Drama, Fantasy",21,8.6,1999
Roberto Benigni,116 min,Life Is Beautiful,"Comedy, Drama, Romance",22,8.6,1997
David Fincher,127 min,Se7en,"Crime, Drama, Mystery",23,8.6,1995
Luc Besson,110 min,Léon: The Professional,"Action, Crime, Drama",24,8.6,1994
Jonathan Demme,118 min,The Silence of the Lambs,"Crime, Drama, Thriller",25,8.6,1991
Masaki Kobayashi,133 min,Hara-Kiri,"Action, Drama, Mystery",26,8.6,1962
Bong Joon Ho,132 min,Parasite,"Comedy, Drama, Horror",27,8.5,2019
Damien Chazelle,106 min,Whiplash,"Drama, Music",28,8.5,2014
Quentin Tarantino,165 min,Django Unchained,"Drama, Western",29,8.5,2012
Olivier Nakache,112 min,The Intouchables,"Biography, Comedy, Drama",30,8.5,2011
Rajkumar Hirani,170 min,3 Idiots,"Comedy, Drama",31,8.5,2009
Christopher Nolan,130 min,The Prestige,"Drama, Mystery, Thriller",32,8.5,2006
Martin Scorsese,151 min,The Departed,"Crime, Drama, Thriller",33,8.5,2006
Ridley Scott,155 min,Gladiator,"Action, Adventure, Drama",34,8.5,2000
Tony Kaye,119 min,American History X,Drama,35,8.5,1998
Bryan Singer,106 min,The Usual Suspects,"Crime, Drama, Mystery",36,8.5,1995
Roger Allers,88 min,The Lion King,"Animation, Adventure, Drama",37,8.5,1994
Giuseppe Tornatore,155 min,Cinema Paradiso,"Drama, Romance",38,8.5,1988
Isao Takahata,89 min,Grave of the Fireflies,"Animation, Drama, War",39,8.5,1988
Francis Ford Coppola,147 min,Apocalypse Now,"Drama, Mystery, War",40,8.5,1979
Michael Curtiz,102 min,Casablanca,"Drama, Romance, War",41,8.5,1942
Charles Chaplin,87 min,Modern Times,"Comedy, Drama, Romance",42,8.5,1936
Charles Chaplin,87 min,City Lights,"Comedy, Drama, Romance",43,8.5,1931
Thomas Kail,160 min,Hamilton,"Biography, Drama, History",44,8.4,2020
Nadine Labaki,126 min,Capernaum,Drama,45,8.4,2018
Todd Phillips,122 min,Joker,"Crime, Drama, Thriller",46,8.4,2019
Makoto Shinkai,106 min,Your Name.,"Animation, Drama, Fantasy",47,8.4,2016
Nitesh Tiwari,161 min,Dangal,"Action, Biography, Drama",48,8.4,2016
Anthony Russo,181 min,Avengers: Endgame,"Action, Adventure, Drama",49,8.4,2019
Christopher Nolan,164 min,The Dark Knight Rises,"Action, Crime, Drama",50,8.4,2012
Aamir Khan,165 min,Like Stars on Earth,"Drama, Family",51,8.4,2007
Florian Henckel von Donnersmarck,137 min,The Lives of Others,"Drama, Mystery, Thriller",52,8.4,2006
Park Chan-wook,120 min,Oldboy,"Action, Drama, Mystery",53,8.4,2003
Sam Mendes,122 min,American Beauty,Drama,54,8.4,1999
Mel Gibson,178 min,Braveheart,"Biography, Drama, History",55,8.4,1995
